id,n_items,total_weight,n_even,n_odd,even_ratio,pattern_eoe,pattern_oeo,pattern_eee,pattern_ooo,opt_bins,waste_pct,solve_time_ms
241,12,527,7,5,0.5833333333333334,1,1,1,0,6,12.166666666666668,0.010967254638671875
242,15,542,7,8,0.4666666666666667,1,1,1,1,6,9.666666666666666,0.013828277587890625
243,14,674,6,8,0.42857142857142855,1,0,1,1,8,15.75,0.015735626220703125
244,11,414,3,8,0.2727272727272727,0,1,0,1,5,17.2,0.008344650268554688
245,15,668,7,8,0.4666666666666667,0,1,1,0,7,4.571428571428571,0.013113021850585938
246,14,539,7,7,0.5,0,1,1,1,6,10.166666666666666,0.01430511474609375
247,13,547,6,7,0.46153846153846156,1,1,0,0,6,8.833333333333334,0.010967254638671875
248,11,418,3,8,0.2727272727272727,0,1,0,1,5,16.400000000000002,0.008821487426757812
249,15,505,8,7,0.5333333333333333,1,0,1,1,6,15.833333333333332,0.012874603271484375
250,13,600,9,4,0.6923076923076923,0,0,1,1,7,14.285714285714285,0.015020370483398438
251,10,484,6,4,0.6,1,1,1,0,6,19.333333333333332,0.010013580322265625
252,10,492,6,4,0.6,1,1,1,0,6,18.0,0.010967254638671875
253,13,573,6,7,0.46153846153846156,1,1,0,0,7,18.142857142857142,0.042438507080078125
254,14,622,8,6,0.5714285714285714,1,1,1,1,7,11.142857142857142,0.025987625122070312
255,13,436,5,8,0.38461538461538464,1,1,0,1,5,12.8,0.023126602172851562
256,15,683,8,7,0.5333333333333333,1,1,1,1,8,14.625,0.024080276489257812
257,14,421,9,5,0.6428571428571429,1,0,1,0,5,15.8,0.01811981201171875
258,11,419,6,5,0.5454545454545454,0,0,0,1,5,16.2,0.018835067749023438
259,12,448,4,8,0.3333333333333333,1,1,0,1,5,10.4,0.019073486328125
260,15,582,9,6,0.6,1,1,1,0,7,16.857142857142858,0.023126602172851562
261,13,658,9,4,0.6923076923076923,1,1,1,0,8,17.75,0.022172927856445312
262,11,506,5,6,0.45454545454545453,1,1,1,0,6,15.666666666666668,0.019311904907226562
263,15,559,8,7,0.5333333333333333,1,1,0,0,6,6.833333333333333,0.02384185791015625
264,12,505,3,9,0.25,1,1,0,1,6,15.833333333333332,0.0209808349609375
265,13,505,4,9,0.3076923076923077,1,1,0,1,6,15.833333333333332,0.016689300537109375
266,12,390,6,6,0.5,1,1,0,1,5,22.0,0.017881393432617188
267,12,460,8,4,0.6666666666666666,1,0,1,1,5,8.0,0.02002716064453125
268,11,502,5,6,0.45454545454545453,1,1,1,1,6,16.333333333333332,0.0209808349609375
269,13,511,6,7,0.46153846153846156,1,1,1,1,6,14.833333333333334,0.0209808349609375
270,13,504,7,6,0.5384615384615384,1,1,1,1,6,16.0,0.02002716064453125
271,13,519,8,5,0.6153846153846154,1,0,1,0,6,13.5,0.018835067749023438
272,10,481,5,5,0.5,1,1,0,0,7,31.285714285714285,0.020265579223632812
