id,n_items,total_weight,opt_bins,waste_abs,waste_pct,n_items_is_prime,total_weight_is_prime,total_weight_is_pow2,prime_elem_count,pow2_elem_count
818,12,495,5,5,1.0,0,0,0,3,1
819,14,530,6,70,11.666666666666666,0,0,0,6,1
820,18,672,7,28,4.0,0,0,0,4,0
821,12,460,5,40,8.0,0,0,0,2,0
822,12,476,5,24,4.8,0,0,0,2,0
823,12,535,6,65,10.833333333333334,0,0,0,3,1
824,12,499,6,101,16.833333333333332,0,1,0,3,1
825,10,308,4,92,23.0,0,0,0,4,0
826,12,433,5,67,13.4,0,1,0,0,0
827,18,793,9,107,11.88888888888889,0,0,0,1,0
828,17,667,7,33,4.714285714285714,1,0,0,6,1
829,18,688,7,12,1.7142857142857144,0,0,0,4,2
830,15,583,6,17,2.833333333333333,0,0,0,7,0
831,13,476,5,24,4.8,1,0,0,7,0
832,12,495,6,105,17.5,0,0,0,3,0
833,15,724,9,176,19.555555555555557,0,0,0,3,1
834,13,532,6,68,11.333333333333332,1,0,0,3,1
835,17,554,6,46,7.666666666666666,1,0,0,2,1
836,16,732,8,68,8.5,0,0,0,3,1
837,17,748,9,152,16.88888888888889,1,0,0,7,1
838,16,603,7,97,13.857142857142858,0,0,0,5,0
839,12,477,5,23,4.6,0,0,0,4,0
840,19,668,7,32,4.571428571428571,1,0,0,7,0
841,16,642,7,58,8.285714285714285,0,0,0,2,1
842,19,686,7,14,2.0,1,0,0,5,1
843,18,787,9,113,12.555555555555555,0,1,0,6,2
844,16,619,7,81,11.571428571428571,0,1,0,2,0
845,16,740,9,160,17.77777777777778,0,0,0,8,1
846,11,487,6,113,18.833333333333332,1,1,0,3,0
847,19,835,9,65,7.222222222222221,1,0,0,5,0
848,15,623,7,77,11.0,0,0,0,4,1
849,10,437,5,63,12.6,0,0,0,1,2
850,13,506,6,94,15.666666666666668,1,0,0,5,1
851,14,581,6,19,3.166666666666667,0,0,0,7,1
852,17,724,8,76,9.5,1,0,0,5,0
853,10,433,5,67,13.4,0,1,0,2,0
854,15,657,7,43,6.142857142857143,0,0,0,4,0
855,17,597,7,103,14.714285714285714,1,0,0,8,0
856,18,698,8,102,12.75,0,0,0,4,0
857,17,658,7,42,6.0,1,0,0,2,1
858,19,744,8,56,7.000000000000001,1,0,0,4,1
859,11,466,5,34,6.800000000000001,1,0,0,3,1
